grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 C PS,Vancouver,48.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 C PS,Prince Rupert,3.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 C PS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 C PS,Thunder Bay,0.4
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 C PS,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 C PS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 C PS,Vancouver,7.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 C PS,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 C PS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 C PS,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 C PS,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 C PS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW SWS,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW SWS,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW SWS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW SWS,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW SWS,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW SWS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW SWS,Vancouver,3.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW SWS,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW SWS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW SWS,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW SWS,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW SWS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW SWS,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW SWS,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW SWS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW SWS,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW SWS,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW SWS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RW,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RW,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RW,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RW,Thunder Bay,0.4
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RW,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RW,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RW,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RW,Prince Rupert,0
