grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Thunder Bay,0.5
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Canadian Domestic,4.0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Pacific,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Thunder Bay,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Barley,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Canadian Domestic,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Pacific,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Thunder Bay,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Peas,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Canadian Domestic,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Pacific,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Thunder Bay,0
